"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (20)";"Code_3 (30)";"Total_Marks (100)";"Comments"
21CS30010;10;10;10;10;10;20;30;100;Good~~~~========= TEST CASES =========~~~~~~Your output:~~enter the number:1~~22~~333~~~~~~Your output:~~enter the number:1~~22~~333~~4444~~~~~~Your output:~~enter the number:1~~22~~333~~4444~~55555~~~~~~Your output:~~enter the number:1~~22~~333~~4444~~55555~~666666~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
21CS10078;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10021;10;10;10;10;10;20;30;100;Clean Code~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the number in the range [2,10]~~1~~22~~333~~~~~~Your output:~~Enter the number in the range [2,10]~~1~~22~~333~~4444~~~~~~Your output:~~Enter the number in the range [2,10]~~1~~22~~333~~4444~~55555~~~~~~Your output:~~Enter the number in the range [2,10]~~1~~22~~333~~4444~~55555~~666666~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10049;10;10;10;10;10;20;30;100;Good work~~~~========= TEST CASES =========~~~~~~Your output:~~Enter number of rows of the pattern (between 2 to 10) = 1 ~~2 2 ~~3 3 3 ~~~~~~Your output:~~Enter number of rows of the pattern (between 2 to 10) = 1 ~~2 2 ~~3 3 3 ~~4 4 4 4 ~~~~~~Your output:~~Enter number of rows of the pattern (between 2 to 10) = 1 ~~2 2 ~~3 3 3 ~~4 4 4 4 ~~5 5 5 5 5 ~~~~~~Your output:~~Enter number of rows of the pattern (between 2 to 10) = 1 ~~2 2 ~~3 3 3 ~~4 4 4 4 ~~5 5 5 5 5 ~~6 6 6 6 6 6 ~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;10;10;10;10;10;20;30;100;Good work~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the number of lines to be printed in the pattern : 1~~22~~333~~~~~~Your output:~~Enter the number of lines to be printed in the pattern : 1~~22~~333~~4444~~~~~~Your output:~~Enter the number of lines to be printed in the pattern : 1~~22~~333~~4444~~55555~~~~~~Your output:~~Enter the number of lines to be printed in the pattern : 1~~22~~333~~4444~~55555~~666666~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10009;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM30014;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30027;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30028;10;10;10;10;10;20;30;100;Perfect~~~~========= TEST CASES =========~~~~~~Your output:~~enter your input:  1~~22~~333~~~~~~Your output:~~enter your input:  1~~22~~333~~4444~~~~~~Your output:~~enter your input:  1~~22~~333~~4444~~55555~~~~~~Your output:~~enter your input:  1~~22~~333~~4444~~55555~~666666~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MI10032;10;10;10;10;10;20;30;100;Great Job~~~~========= TEST CASES =========~~~~~~Your output:~~Enter number:~~1~~22~~333~~~~~~Your output:~~Enter number:~~1~~22~~333~~4444~~~~~~Your output:~~Enter number:~~1~~22~~333~~4444~~55555~~~~~~Your output:~~Enter number:~~1~~22~~333~~4444~~55555~~666666~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Coded 2 loops~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Implemented correct pattern Logic~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE10008;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
