"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (30)";"Code_2 (30)";"Code_3 (-5)";"Code_4 (-5)";"Total_Marks (100)";"Comments"
21MA10036;0;0;0;0;10;10;-5;0;15;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~Enter the value of n: 6~~Enter array n[]: 5 1 4 10 6 9~~Enter m: 2~~~~OUTPUT:~~Output: 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~Enter the value of n: 7~~Enter array n[]: 5 1 7 13 4 3 3~~Enter m: 3~~~~OUTPUT:~~Output: 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~~~INPUT:~~Enter the value of n: 5~~Enter array n[]: 1 2 3 4 5~~Enter m: 5~~~~~~OUTPUT:~~Output: 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~~~INPUT:~~Enter the value of n: 5~~Enter array n[]: 1 1 1 1 1~~Enter m: 5~~~~~~OUTPUT:~~Output: 0~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 10 out of 30~~~~~~FAILED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 10 out of 30~~~~~~FAILED: Negative Code Case 3:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
21ME10005;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21MA10055;0;0;0;0;10;10;0;0;20;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~Enter the value of n: 6~~Enter array n[]: 5 1 4 10 6 9~~Enter m: 2~~~~OUTPUT:~~Output: 1~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~Enter the value of n: 7~~Enter array n[]: 5 1 7 13 4 3 3~~Enter m: 3~~~~OUTPUT:~~Output: 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~~~INPUT:~~Enter the value of n: 5~~Enter array n[]: 1 2 3 4 5~~Enter m: 5~~~~~~OUTPUT:~~Output: 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~~~INPUT:~~Enter the value of n: 5~~Enter array n[]: 1 1 1 1 1~~Enter m: 5~~~~~~OUTPUT:~~Output: 0~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 10 out of 30~~~~~~FAILED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 10 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
21ME10024;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21IM10011;10;0;10;10;25;30;0;0;85;========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~INPUT:~~Enter the value of n: 6~~Enter array n[]: 5 1 4 10 6 9~~Enter m: 2~~~~OUTPUT:~~Output: 1~~~~~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~Enter the value of n: 7~~Enter array n[]: 5 1 7 13 4 3 3~~Enter m: 3~~~~OUTPUT:~~Output: 2~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Test Case 3: ~~~~INPUT:~~Enter the value of n: 5~~Enter array n[]: 1 2 3 4 5~~Enter m: 5~~~~~~OUTPUT:~~Output: 4~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 4: ~~~~INPUT:~~Enter the value of n: 5~~Enter array n[]: 1 1 1 1 1~~Enter m: 5~~~~~~OUTPUT:~~Output: 0~~~~~~  Mark/s obtained: 10 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 25 out of 30~~~~~~PASSED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
21IM10030;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21MA10017;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME10043;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21IM30026;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21IM30007;0;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 0 out of 30~~~~~~FAILED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 0 out of 30~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME10062;0;0;0;0;10;10;-5;0;15;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 10 out of 30~~~~~~FAILED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 10 out of 30~~~~~~FAILED: Negative Code Case 3:~~Comments missing, logic hard to understand~~  Mark/s lost: -5 out of -5~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 15 ############
21ME10081;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME10100;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
20IE10039;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME30015;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21IE10036;0;0;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
