"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (20)";"Code_4 (20)";"Total_Marks (100)";"Comments"
21CS30010;5;5;5;5;10;10;20;20;80;You are not supposed to ask user for the number of inputs.~~ The user will keep entering numbers and you just have to run an infinite loop.~~~~========= TEST CASES =========~~~~~~Your output:~~enter the number:0 error1~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the number:0  largest number :2~~ second largest number :-1000~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 ~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the number:0  largest number :2~~ second largest number :-1000~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~enter the number:0  largest number :2~~ second largest number :-1000~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
21CS10078;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10021;5;5;5;5;10;10;20;20;80;You are not supposed to take finite number of inputs.~~ The user will keep entering numbers and you just have to run an infinite loop.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter numbers:~~~~FAILED: Test Case 1: ~~IN:~~Enter numbers: 1~~~~Exp OUT:~~Largest number: 1~~Second largest number: Value Not yet entered~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter numbers:~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 ~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter numbers:~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter numbers:~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22CS10049;10;10;10;10;10;10;20;20;100;Clean Code~~~~========= TEST CASES =========~~~~~~Your output:~~You will be shown largest and the second largest number as you keep entering the numbers.~~Enter the numbers hereafter. The program will only terminate if you enter a negative number.~~Largest number: 1~~Second largest number: Value not yet entered~~~~~~Your output:~~You will be shown largest and the second largest number as you keep entering the numbers.~~Enter the numbers hereafter. The program will only terminate if you enter a negative number.~~Largest number: 1~~Second largest number: Value not yet entered~~Largest number: 2~~Second largest number: 1~~Largest number: 5~~Second largest number: 2~~Largest number: 5~~Second largest number: 4~~~~~~Your output:~~You will be shown largest and the second largest number as you keep entering the numbers.~~Enter the numbers hereafter. The program will only terminate if you enter a negative number.~~Largest number: 1~~Second largest number: Value not yet entered~~Largest number: 2~~Second largest number: 1~~Largest number: 5~~Second largest number: 2~~Largest number: 5~~Second largest number: 4~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~~~~~Your output:~~You will be shown largest and the second largest number as you keep entering the numbers.~~Enter the numbers hereafter. The program will only terminate if you enter a negative number.~~Largest number: 1~~Second largest number: Value not yet entered~~Largest number: 2~~Second largest number: 1~~Largest number: 5~~Second largest number: 2~~Largest number: 5~~Second largest number: 4~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~Largest number: 8~~Second largest number: 5~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;10;5;5;5;10;10;20;20;85;Your array is not defined to have any length, that is causing an issue.~~ Pre-define your array to have say 1000 length and count the number of inputs given and use that as the array limit.~~~~========= TEST CASES =========~~~~~~Your output:~~Enter numbers : Largest number: 1~~Second largest number : Value not yet entered~~~~~~Your output:~~Enter numbers : Largest number: 1~~Second largest number : Value not yet entered~~Largest number : 2~~Second largest number : 2~~Largest number : 3~~Second largest number : 2~~Largest number : 3~~Second largest number : 4~~~~~~FAILED: Test Case 2: ~~IN:~~Enter numbers: 1 2 5 4 -1~~~~Exp OUT:~~Largest number: 5~~Second largest number: 4~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 3: ~~IN:~~Enter numbers: 1 2 5 4 8 2 -1~~~~Exp OUT:~~Largest number: 8~~Second largest number: 5~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 4: ~~IN:~~Enter numbers: 1 2 5 4 8 2 1 1 -10 ~~~~Exp OUT:~~<Program terminates~~~~ ~~  Mark/s obtained: 5 out of 10~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22CS10009;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM30014;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22EE30027;0;0;0;0;0;0;0;0;0;LT1 file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30028;0;0;0;0;10;0;20;0;30;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 2:~~Program terminates on negetive input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Checked for 2nd Largest~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 30 ############
